=== SINGULARITÄTS-TEST BIS 10.000 - FIXED ===
Teste 1229 Primzahlen...

=== SUCHE RATIO ≈ 2.806 ± 0.3, Δφ < 5.0° ===
Filter: Amp > 100, symmetrische Ratio

1.  211-  53 | Ratio: 2.598 | Δφ: -1.51° | Amp: 282,109
76.  307-  73 | Ratio: 2.702 | Δφ: -1.04° | Amp: 366,135

77.  311-  73 | Ratio: 2.726 | Δφ: -1.05° | Amp: 369,135

78.  313-  73 | Ratio: 2.738 | Δφ: -1.06° | Amp: 370,135

79.  317-  73 | Ratio: 2.762 | Δφ: -1.07° | Amp: 374,135

80.  331-  73 | Ratio: 2.846 | Δφ: -1.10° | Amp: 385,135

81.  337-  73 | Ratio: 2.882 | Δφ: -1.12° | Amp: 390,135

82.  347-  73 | Ratio: 2.941 | Δφ: -1.14° | Amp: 398,135

83.  349-  73 | Ratio: 2.953 | Δφ: -1.15° | Amp: 400,135

84.  353-  73 | Ratio: 2.976 | Δφ: -1.15° | Amp: 403,135

85.  359-  73 | Ratio: 3.010 | Δφ: -1.17° | Amp: 407,135

86.  367-  73 | Ratio: 3.057 | Δφ: -1.18° | Amp: 414,135

87.  373-  73 | Ratio: 3.092 | Δφ: -1.20° | Amp: 418,135

88.  307-  79 | Ratio: 2.559 | Δφ: -1.38° | Amp: 366,143

89.  311-  79 | Ratio: 2.583 | Δφ: -1.38° | Amp: 369,143

90.  313-  79 | Ratio: 2.594 | Δφ: -1.39° | Amp: 370,143

91.  317-  79 | Ratio: 2.616 | Δφ: -1.40° | Amp: 374,143

92.  331-  79 | Ratio: 2.696 | Δφ: -1.43° | Amp: 385,143

93.  337-  79 | Ratio: 2.730 | Δφ: -1.45° | Amp: 390,143

94.  347-  79 | Ratio: 2.786 | Δφ: -1.47° | Amp: 398,143

95.  349-  79 | Ratio: 2.797 | Δφ: -1.48° | Amp: 400,143

96.  353-  79 | Ratio: 2.819 | Δφ: -1.49° | Amp: 403,143

97.  359-  79 | Ratio: 2.852 | Δφ: -1.50° | Amp: 407,143

98.  367-  79 | Ratio: 2.896 | Δφ: -1.51° | Amp: 414,143

99.  373-  79 | Ratio: 2.929 | Δφ: -1.53° | Amp: 418,143

100.  379-  79 | Ratio: 2.961 | Δφ: -1.54° | Amp: 423,143

101.  383-  79 | Ratio: 2.983 | Δφ: -1.55° | Amp: 426,143

102.  389-  79 | Ratio: 3.016 | Δφ: -1.56° | Amp: 431,143

103.  397-  79 | Ratio: 3.059 | Δφ: -1.58° | Amp: 437,143

104.  401-  79 | Ratio: 3.080 | Δφ: -1.59° | Amp: 440,143

105.  317-  83 | Ratio: 2.524 | Δφ: -0.98° | Amp: 374,148

106.  331-  83 | Ratio: 2.601 | Δφ: -1.01° | Amp: 385,148

107.  337-  83 | Ratio: 2.633 | Δφ: -1.03° | Amp: 390,148

108.  347-  83 | Ratio: 2.687 | Δφ: -1.05° | Amp: 398,148

109.  349-  83 | Ratio: 2.698 | Δφ: -1.06° | Amp: 400,148

110.  353-  83 | Ratio: 2.719 | Δφ: -1.06° | Amp: 403,148

111.  359-  83 | Ratio: 2.751 | Δφ: -1.08° | Amp: 407,148

112.  367-  83 | Ratio: 2.794 | Δφ: -1.09° | Amp: 414,148

113.  373-  83 | Ratio: 2.825 | Δφ: -1.11° | Amp: 418,148

114.  379-  83 | Ratio: 2.856 | Δφ: -1.12° | Amp: 423,148

115.  383-  83 | Ratio: 2.878 | Δφ: -1.13° | Amp: 426,148

116.  389-  83 | Ratio: 2.909 | Δφ: -1.14° | Amp: 431,148

117.  397-  83 | Ratio: 2.950 | Δφ: -1.16° | Amp: 437,148

118.  401-  83 | Ratio: 2.971 | Δφ: -1.17° | Amp: 440,148

119.  409-  83 | Ratio: 3.012 | Δφ: -1.18° | Amp: 446,148

120.  419-  83 | Ratio: 3.063 | Δφ: -1.20° | Amp: 454,148

121.  421-  83 | Ratio: 3.073 | Δφ: -1.21° | Amp: 455,148

122.  337-  89 | Ratio: 2.508 | Δφ: -1.20° | Amp: 390,155

123.  347-  89 | Ratio: 2.560 | Δφ: -1.22° | Amp: 398,155

124.  349-  89 | Ratio: 2.570 | Δφ: -1.23° | Amp: 400,155

125.  353-  89 | Ratio: 2.590 | Δφ: -1.24° | Amp: 403,155

126.  359-  89 | Ratio: 2.620 | Δφ: -1.25° | Amp: 407,155

127.  367-  89 | Ratio: 2.661 | Δφ: -1.27° | Amp: 414,155

128.  373-  89 | Ratio: 2.691 | Δφ: -1.28° | Amp: 418,155

129.  379-  89 | Ratio: 2.721 | Δφ: -1.29° | Amp: 423,155

130.  383-  89 | Ratio: 2.741 | Δφ: -1.30° | Amp: 426,155

131.  389-  89 | Ratio: 2.771 | Δφ: -1.31° | Amp: 431,155

132.  397-  89 | Ratio: 2.810 | Δφ: -1.33° | Amp: 437,155

133.  401-  89 | Ratio: 2.830 | Δφ: -1.34° | Amp: 440,155

134.  409-  89 | Ratio: 2.869 | Δφ: -1.36° | Amp: 446,155

135.  419-  89 | Ratio: 2.917 | Δφ: -1.37° | Amp: 454,155

136.  421-  89 | Ratio: 2.928 | Δφ: -1.38° | Amp: 455,155

137.  431-  89 | Ratio: 2.976 | Δφ: -1.40° | Amp: 463,155

138.  433-  89 | Ratio: 2.986 | Δφ: -1.40° | Amp: 464,155

139.  439-  89 | Ratio: 3.014 | Δφ: -1.41° | Amp: 469,155

140.  443-  89 | Ratio: 3.033 | Δφ: -1.42° | Amp: 472,155

141.  449-  89 | Ratio: 3.062 | Δφ: -1.43° | Amp: 476,155

142.  457-  89 | Ratio: 3.099 | Δφ: -1.44° | Amp: 482,155

143.  367-  97 | Ratio: 2.507 | Δφ: -1.14° | Amp: 414,165

144.  373-  97 | Ratio: 2.536 | Δφ: -1.15° | Amp: 418,165

145.  379-  97 | Ratio: 2.564 | Δφ: -1.17° | Amp: 423,165

146.  383-  97 | Ratio: 2.583 | Δφ: -1.17° | Amp: 426,165

147.  389-  97 | Ratio: 2.611 | Δφ: -1.18° | Amp: 431,165

148.  397-  97 | Ratio: 2.648 | Δφ: -1.20° | Amp: 437,165

149.  401-  97 | Ratio: 2.667 | Δφ: -1.21° | Amp: 440,165

150.  409-  97 | Ratio: 2.704 | Δφ: -1.23° | Amp: 446,165

151.  419-  97 | Ratio: 2.749 | Δφ: -1.24° | Amp: 454,165

152.  421-  97 | Ratio: 2.759 | Δφ: -1.25° | Amp: 455,165

153.  431-  97 | Ratio: 2.804 | Δφ: -1.27° | Amp: 463,165

154.  433-  97 | Ratio: 2.813 | Δφ: -1.27° | Amp: 464,165

155.  439-  97 | Ratio: 2.840 | Δφ: -1.28° | Amp: 469,165

156.  443-  97 | Ratio: 2.858 | Δφ: -1.29° | Amp: 472,165

157.  449-  97 | Ratio: 2.885 | Δφ: -1.30° | Amp: 476,165

158.  457-  97 | Ratio: 2.920 | Δφ: -1.31° | Amp: 482,165

159.  461-  97 | Ratio: 2.938 | Δφ: -1.32° | Amp: 485,165

160.  463-  97 | Ratio: 2.947 | Δφ: -1.32° | Amp: 486,165

161.  467-  97 | Ratio: 2.965 | Δφ: -1.33° | Amp: 489,165

162.  479-  97 | Ratio: 3.017 | Δφ: -1.35° | Amp: 498,165

163.  487-  97 | Ratio: 3.053 | Δφ: -1.37° | Amp: 504,165

164.  491-  97 | Ratio: 3.070 | Δφ: -1.37° | Amp: 506,165

165.  499-  97 | Ratio: 3.105 | Δφ: -1.38° | Amp: 512,165

166.  383- 101 | Ratio: 2.519 | Δφ: -1.05° | Amp: 426,169

167.  389- 101 | Ratio: 2.547 | Δφ: -1.06° | Amp: 431,169

168.  397- 101 | Ratio: 2.583 | Δφ: -1.08° | Amp: 437,169

169.  401- 101 | Ratio: 2.601 | Δφ: -1.09° | Amp: 440,169

170.  409- 101 | Ratio: 2.637 | Δφ: -1.10° | Amp: 446,169

171.  419- 101 | Ratio: 2.682 | Δφ: -1.12° | Amp: 454,169

172.  421- 101 | Ratio: 2.691 | Δφ: -1.13° | Amp: 455,169

173.  431- 101 | Ratio: 2.735 | Δφ: -1.14° | Amp: 463,169

174.  433- 101 | Ratio: 2.744 | Δφ: -1.15° | Amp: 464,169

175.  439- 101 | Ratio: 2.770 | Δφ: -1.16° | Amp: 469,169

176.  443- 101 | Ratio: 2.788 | Δφ: -1.17° | Amp: 472,169

177.  449- 101 | Ratio: 2.814 | Δφ: -1.18° | Amp: 476,169

178.  457- 101 | Ratio: 2.849 | Δφ: -1.19° | Amp: 482,169

179.  461- 101 | Ratio: 2.866 | Δφ: -1.20° | Amp: 485,169

180.  463- 101 | Ratio: 2.875 | Δφ: -1.20° | Amp: 486,169

181.  467- 101 | Ratio: 2.892 | Δφ: -1.21° | Amp: 489,169

182.  479- 101 | Ratio: 2.943 | Δφ: -1.23° | Amp: 498,169

183.  487- 101 | Ratio: 2.978 | Δφ: -1.24° | Amp: 504,169

184.  491- 101 | Ratio: 2.994 | Δφ: -1.25° | Amp: 506,169

185.  499- 101 | Ratio: 3.029 | Δφ: -1.26° | Amp: 512,169

186.  503- 101 | Ratio: 3.046 | Δφ: -1.27° | Amp: 515,169

187.  509- 101 | Ratio: 3.070 | Δφ: -1.28° | Amp: 519,169

188.  397- 103 | Ratio: 2.540 | Δφ: -1.03° | Amp: 437,172

189.  401- 103 | Ratio: 2.558 | Δφ: -1.04° | Amp: 440,172

190.  409- 103 | Ratio: 2.593 | Δφ: -1.06° | Amp: 446,172

191.  419- 103 | Ratio: 2.637 | Δφ: -1.08° | Amp: 454,172

192.  421- 103 | Ratio: 2.646 | Δφ: -1.08° | Amp: 455,172

193.  431- 103 | Ratio: 2.690 | Δφ: -1.10° | Amp: 463,172

194.  433- 103 | Ratio: 2.699 | Δφ: -1.10° | Amp: 464,172

195.  439- 103 | Ratio: 2.724 | Δφ: -1.11° | Amp: 469,172

196.  443- 103 | Ratio: 2.742 | Δφ: -1.12° | Amp: 472,172

197.  449- 103 | Ratio: 2.767 | Δφ: -1.13° | Amp: 476,172

198.  457- 103 | Ratio: 2.801 | Δφ: -1.15° | Amp: 482,172

199.  461- 103 | Ratio: 2.819 | Δφ: -1.15° | Amp: 485,172

200.  463- 103 | Ratio: 2.827 | Δφ: -1.16° | Amp: 486,172

201.  467- 103 | Ratio: 2.844 | Δφ: -1.16° | Amp: 489,172

202.  479- 103 | Ratio: 2.894 | Δφ: -1.18° | Amp: 498,172

203.  487- 103 | Ratio: 2.928 | Δφ: -1.20° | Amp: 504,172

204.  491- 103 | Ratio: 2.944 | Δφ: -1.20° | Amp: 506,172

205.  499- 103 | Ratio: 2.978 | Δφ: -1.21° | Amp: 512,172

206.  503- 103 | Ratio: 2.995 | Δφ: -1.22° | Amp: 515,172

207.  509- 103 | Ratio: 3.019 | Δφ: -1.23° | Amp: 519,172

208.  521- 103 | Ratio: 3.070 | Δφ: -1.25° | Amp: 528,172

209.  523- 103 | Ratio: 3.077 | Δφ: -1.25° | Amp: 529,172

210.  409- 107 | Ratio: 2.526 | Δφ: -1.15° | Amp: 446,177

211.  419- 107 | Ratio: 2.568 | Δφ: -1.17° | Amp: 454,177

212.  421- 107 | Ratio: 2.577 | Δφ: -1.17° | Amp: 455,177

213.  431- 107 | Ratio: 2.619 | Δφ: -1.19° | Amp: 463,177

